test_date,Country,host_ip,num_packets,packet_size,base_losses_str,id_pcap_data,discrimination_losses_str,id_pcap_data
2016-04-20 17:13:14,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,20,7931( 131.179.150.70 ),0,7932( 131.179.150.70 )
2016-04-20 18:13:11,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,20,7991( 131.179.150.70 ),0,7992( 131.179.150.70 )
2016-04-20 19:13:10,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,20,8047( 131.179.150.70 ),0,8048( 131.179.150.70 )
2016-04-20 20:12:44,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,20,8103( 131.179.150.70 ),2453,8104( 131.179.150.70 )
2016-04-20 21:12:44,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,20,8159( 131.179.150.70 ),2414,8160( 131.179.150.70 )
2016-04-20 22:12:43,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,20,8215( 131.179.150.70 ),2405,8216( 131.179.150.70 )
2016-04-20 23:12:42,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,20,8271( 131.179.150.70 ),2385,8272( 131.179.150.70 )
2016-04-21 00:12:43,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,20,8327( 131.179.150.70 ),2417,8328( 131.179.150.70 )
2016-04-21 01:12:42,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,20,8383( 131.179.150.70 ),2478,8384( 131.179.150.70 )
2016-04-21 02:12:42,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,20,8439( 131.179.150.70 ),2467,8440( 131.179.150.70 )
2016-04-21 03:12:43,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,20,8495( 131.179.150.70 ),2500,8496( 131.179.150.70 )
2016-04-21 05:08:09,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,734,8536( 131.179.150.70 ),702,8544( 131.179.150.70 )
2016-04-21 07:06:09,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,740,8550( 131.179.150.70 ),594,8556( 131.179.150.70 )
2016-04-21 09:07:27,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,695,8562( 131.179.150.70 ),1320,8568( 131.179.150.70 )
2016-04-21 10:14:20,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,20,8574( 131.179.150.70 ),2205,8575( 131.179.150.70 )
