test_date,Country,host_ip,num_packets,packet_size,base_losses_str,id_pcap_data,discrimination_losses_str,id_pcap_data
2016-05-05 00:00:20,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,3484,16236( 131.179.150.70 ),22,16237( 131.179.150.70 )
2016-05-05 01:00:16,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,4650,16252( 131.179.150.70 ),22,16253( 131.179.150.70 )
2016-05-05 02:00:16,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,4668,16268( 131.179.150.70 ),78,16269( 131.179.150.70 )
2016-05-05 03:00:17,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,3904,16284( 131.179.150.70 ),30,16285( 131.179.150.70 )
2016-05-05 04:00:18,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,4116,16300( 131.179.150.70 ),22,16301( 131.179.150.70 )
2016-05-05 05:00:16,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,4682,16316( 131.179.150.70 ),58,16317( 131.179.150.70 )
2016-05-05 06:00:21,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,1822,16332( 131.179.150.70 ),22,16333( 131.179.150.70 )
2016-05-05 07:00:17,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,4684,16348( 131.179.150.70 ),32,16349( 131.179.150.70 )
2016-05-05 08:00:17,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,4156,16364( 131.179.150.70 ),76,16365( 131.179.150.70 )
2016-05-05 09:00:18,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,3668,16380( 131.179.150.70 ),22,16381( 131.179.150.70 )
2016-05-05 10:00:18,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,3474,16396( 131.179.150.70 ),22,16397( 131.179.150.70 )
2016-05-05 11:00:17,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,4208,16412( 131.179.150.70 ),22,16413( 131.179.150.70 )
2016-05-05 12:00:22,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,1864,16428( 131.179.150.70 ),22,16429( 131.179.150.70 )
2016-05-05 13:00:17,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,4492,16444( 131.179.150.70 ),22,16445( 131.179.150.70 )
2016-05-05 14:00:18,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,3288,16460( 131.179.150.70 ),22,16461( 131.179.150.70 )
2016-05-05 15:00:16,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,4594,16476( 131.179.150.70 ),22,16477( 131.179.150.70 )
2016-05-05 16:00:17,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,4586,16492( 131.179.150.70 ),96,16493( 131.179.150.70 )
2016-05-05 17:00:17,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,4324,16508( 131.179.150.70 ),116,16509( 131.179.150.70 )
2016-05-05 18:00:19,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,3600,16524( 131.179.150.70 ),22,16525( 131.179.150.70 )
2016-05-05 19:00:19,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,3464,16540( 131.179.150.70 ),22,16541( 131.179.150.70 )
2016-05-05 20:00:17,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,4522,16556( 131.179.150.70 ),22,16557( 131.179.150.70 )
2016-05-05 21:00:19,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,3202,16572( 131.179.150.70 ),22,16573( 131.179.150.70 )
2016-05-05 22:00:19,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,3426,16588( 131.179.150.70 ),22,16589( 131.179.150.70 )
2016-05-05 23:00:17,planetlab1.cs.ucla.edu,131.179.150.70,5000,1024,4590,16604( 131.179.150.70 ),22,16605( 131.179.150.70 )
2016-05-05 00:04:19,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,3858,16238( 131.179.150.72 ),22,16239( 131.179.150.72 )
2016-05-05 01:04:19,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,3726,16254( 131.179.150.72 ),22,16255( 131.179.150.72 )
2016-05-05 02:04:17,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,4442,16270( 131.179.150.72 ),22,16271( 131.179.150.72 )
2016-05-05 03:04:16,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,4634,16286( 131.179.150.72 ),22,16287( 131.179.150.72 )
2016-05-05 04:04:18,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,4600,16302( 131.179.150.72 ),22,16303( 131.179.150.72 )
2016-05-05 05:04:17,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,4626,16318( 131.179.150.72 ),26,16319( 131.179.150.72 )
2016-05-05 06:04:17,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,4650,16334( 131.179.150.72 ),22,16335( 131.179.150.72 )
2016-05-05 07:04:18,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,4186,16350( 131.179.150.72 ),40,16351( 131.179.150.72 )
2016-05-05 08:04:18,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,4330,16366( 131.179.150.72 ),44,16367( 131.179.150.72 )
2016-05-05 09:04:16,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,4652,16382( 131.179.150.72 ),28,16383( 131.179.150.72 )
2016-05-05 10:04:17,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,4594,16398( 131.179.150.72 ),22,16399( 131.179.150.72 )
2016-05-05 11:04:18,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,4256,16414( 131.179.150.72 ),22,16415( 131.179.150.72 )
2016-05-05 12:04:17,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,4166,16430( 131.179.150.72 ),42,16431( 131.179.150.72 )
2016-05-05 13:04:16,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,4602,16446( 131.179.150.72 ),54,16447( 131.179.150.72 )
2016-05-05 14:04:18,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,4244,16462( 131.179.150.72 ),56,16463( 131.179.150.72 )
2016-05-05 15:04:18,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,4202,16478( 131.179.150.72 ),22,16479( 131.179.150.72 )
2016-05-05 16:04:16,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,4576,16494( 131.179.150.72 ),22,16495( 131.179.150.72 )
2016-05-05 17:04:17,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,4556,16510( 131.179.150.72 ),22,16511( 131.179.150.72 )
2016-05-05 18:04:18,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,4566,16526( 131.179.150.72 ),22,16527( 131.179.150.72 )
2016-05-05 19:04:20,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,4100,16542( 131.179.150.72 ),22,16543( 131.179.150.72 )
2016-05-05 20:04:18,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,3464,16558( 131.179.150.72 ),22,16559( 131.179.150.72 )
2016-05-05 21:04:16,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,4590,16574( 131.179.150.72 ),22,16575( 131.179.150.72 )
2016-05-05 22:04:18,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,3454,16590( 131.179.150.72 ),22,16591( 131.179.150.72 )
2016-05-05 23:04:17,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,4640,16606( 131.179.150.72 ),38,16607( 131.179.150.72 )
2016-05-05 00:08:22,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,3672,16240( 192.16.125.12 ),108,16241( 192.16.125.12 )
